BAL_visit_0.3,BE_visit_0.3,BAL_eos_0.1,BE_eos_0.1,BAL_neut_0.1,BAL_feno_0.1,BE_feno_0.1
SIGLEC10,BUB1B,FCER1A,,,ARL4A,
MCM6,CLC,P2RY14,,,FRMD4B,
MCM2,PKM,RAB37,,,CLCN4,
CD1A,CKS2,GFOD1,,,ITPKB,
P2RY10,TMED3,RGS18,,,MLLT11,
CYP1B1,STAC,NTNG2,,,IL5RA,
TNFRSF11A,GGCX,FHL3,,,IFI6,
RNASE1,ZBTB16,RGS14,,,FAM101A,
ADGRG3,SHMT2,FAM101B,,,ENTPD1,
TNFSF14,MRC1,TMEM154,,,VGLL3,
ETV5,MND1,AJAP1,,,DLX3,
PADI4,SLC22A4,PTGDR2,,,HAUS3,
MATK,NFE2,HIP1,,,PIK3R1,
TNFRSF4,CCL2,SLFN13,,,ADORA3,
CAMK1,TXLNB,PPP1R3B,,,IL1RL1,
CHST15,GINS2,ENTPD1,,,KIAA1109,
MCM7,SCAI,OLIG2,,,MOK,
CD207,TMEM37,GIPR,,,TOX2,
FAM111B,E2F1,VSTM1,,,MEGF6,
RGL4,CDCA2,TRPM6,,,NFATC2,
CCR7,KMT2E,LFNG,,,GRB10,
MYBL2,PLAU,TMEM173,,,PLEKHA4,
ACPP,NEURL3,CLC,,,RASAL3,
PTGS1,SIGLEC10,SVIP,,,FCGR1B,
FURIN,PTTG1,IL5RA,,,ADORA3,
CYP2S1,ANLN,EMB,,,LTA4H,
AZI2,PKMYT1,CYLD,,,LY6E,
CPLX2,PTGDR2,FGD3,,,ITGA2B,
GPR132,NPFFR1,PAK1,,,ACKR2,
MMP9,NCAPG,SLCO3A1,,,RNF216,
TRERF1,SEC61A1,SYTL1,,,CYFIP2,
CDC25A,GIGYF2,XYLT1,,,MYH9,
NCAPH,E2F2,CAMK1,,,MS4A7,
HSH2D,AURKB,ASB2,,,CNR2,
TESC,PYCR1,SPNS2,,,HDAC1,
QPCT,MRPL37,SMPD3,,,HBEGF,
MBOAT7,SMC4,C10orf54,,,VCL,
RAB3D,MAGED1,NHSL2,,,RMDN3,
TNFAIP2,UHRF1,TRERF1,,,SNX7,
SLC7A5,RAD54L,NFE2,,,FRY,
SPHK1,C1orf115,LPCAT2,,,GFOD1,
RRM2,TPX2,CD69,,,RD3,
CECR6,PROCR,CD200R1,,,DGKD,
SOCS1,PLK1,FRY,,,HRASLS5,
CDA,ACTR1A,LRRC17,,,ANGPT4,
SELL,ZBTB20,KCNJ8,,,SPNS2,
CD180,HMGA1,CEBPE,,,TPP2,
IL17RA,CDCA5,CCR3,,,APIP,
FAM20A,CRY1,TCN1,,,,
CLIC3,ATP2C1,FFAR2,,,,
TK1,PRC1,CNKSR2,,,,
ASF1B,TWF2,FFAR3,,,,
SPATA13,JDP2,IL2RA,,,,
TMEM154,FOXM1,TAF7,,,,
CBFA2T3,RAB37,CD1A,,,,
HRH2,CENPU,KLF2,,,,
SEMA7A,FCN1,PIK3CD,,,,
CDT1,YWHAH,OXER1,,,,
FHL3,CD276,CD1E,,,,
FFAR2,ARHGDIA,SNX20,,,,
EEPD1,CYB5R4,TGFA,,,,
KLHL22,BIRC3,CSF2RB,,,,
FAM101B,MCM10,SLC24A3,,,,
TCF4,RAC2,PRDM1,,,,
ADGRG1,TFF2,CD300LB,,,,
ANTXR2,RHOU,CHST15,,,,
FEN1,MCM5,SWAP70,,,,
UHRF1,IRF2BP2,MARCKSL1,,,,
GFI1B,TTK,B3GNT8,,,,
ASB2,CRH,BTG2,,,,
NHSL2,CHST14,BHLHE40,,,,
H2AFX,CYB5D2,CCND2,,,,
S1PR1,KIF23,CDCP1,,,,
TYMS,RTN2,PLXNC1,,,,
DTL,CORO1B,NFATC2,,,,
RECQL4,MYO1C,RNF144A,,,,
PSTPIP1,APEX2,RASSF2,,,,
SFTPB,GAPT,RNF216,,,,
ADORA3,NLN,ADAM28,,,,
KMO,MEIS1,CYFIP2,,,,
PIM1,RNF165,ADAM19,,,,
ST20,ASCL1,PTPRE,,,,
B3GNT8,SLC5A8,SORL1,,,,
SAE1,TCF19,ADARB1,,,,
DERL3,SFN,INADL,,,,
FN3K,ZDHHC3,IL1RL1,,,,
PAK1,DNAH5,NDFIP2,,,,
MYL9,RABGGTA,LPGAT1,,,,
GATA2,ZDHHC12,RAB11FIP4,,,,
CAMP,ZNF571,RAB3D,,,,
SAPCD2,FOXC1,R3HDM4,,,,
NETO2,C19orf12,PLD4,,,,
MZB1,ENO1,SLC16A14,,,,
DNPH1,ADGRG3,MBOAT7,,,,
MARCH3,CALR,FRMD4B,,,,
IL1RL1,RNPEPL1,GGT5,,,,
PER1,BMF,CCDC69,,,,
GPR27,YTHDC1,AFF2,,,,
P3H2,DLGAP5,YPEL3,,,,
NALCN,IER3,LIMD2,,,,
SLC25A15,TUBB,ITGA2B,,,,
OLFML2B,SETD7,CORO1A,,,,
TRIM47,MMP12,ACAP1,,,,
GSAP,TMEM106C,FAM19A2,,,,
CNN2,KCTD5,PILRB,,,,
KCNJ15,CYP26A1,IL6R,,,,
ALYREF,ERO1L,SLC29A1,,,,
PTPN7,CX3CL1,RNF24,,,,
SERPINB9,VWA2,SP4,,,,
C5orf45,ZNF559-ZNF177,TIAM2,,,,
SKA1,C10orf128,FGL2,,,,
RNF24,PSRC1,STARD10,,,,
OAF,APBB2,PDE4D,,,,
HMGA1,TFAP2A,COL18A1,,,,
NSUN7,GADD45B,PADI2,,,,
ESCO2,EBF3,SUSD3,,,,
P2RY2,SHCBP1,GNG2,,,,
LMNB1,SAE1,SIGLEC10,,,,
MMP2,GGH,PHOSPHO1,,,,
DHRS1,TMPRSS3,TREML2,,,,
ARAP3,PIP5K1B,LBR,,,,
VCL,FOSB,BIK,,,,
E2F1,CCR3,FAM101A,,,,
SDS,PTAFR,HSH2D,,,,
LTB,RNASE2,CHPT1,,,,
CD209,INO80D,FCER2,,,,
YPEL3,CCL13,CD209,,,,
FPR3,CEBPE,NCF1,,,,
PTAFR,MCEMP1,SOCS1,,,,
ATP2A3,SAC3D1,THBS4,,,,
CSGALNACT1,NFIA,IL34,,,,
IL6R,NR1D1,TSPAN16,,,,
SLC17A9,ZFP36,EEPD1,,,,
CALR,PRSS12,MDS2,,,,
SLC7A1,NDC1,ST8SIA4,,,,
ZDHHC18,CRADD,ADD3,,,,
HIC1,CLPTM1L,MMP12,,,,
MAML2,SCN3A,VAMP1,,,,
OLR1,CBLC,SYNE2,,,,
TBC1D4,MAD2L1,CHSY1,,,,
TRPM2,CCL24,LINGO3,,,,
RHOH,CD38,FAM63A,,,,
R3HDM4,C17orf53,MSRB3,,,,
SLC24A3,ERMARD,ZNF33A,,,,
TCF7,CHGA,ARL4C,,,,
FAM65B,CALM3,ADORA3,,,,
PAG1,PDLIM2,TMEM71,,,,
SPIB,TSC22D1,RD3,,,,
F12,CCDC22,PIM1,,,,
CLEC4G,C19orf35,ITM2C,,,,
CKAP4,TFEB,CREB3L3,,,,
TMEM8A,SULT1E1,DSC2,,,,
GINS2,P2RY6,GALNT3,,,,
METTL7B,NT5DC1,MARCH3,,,,
JCHAIN,SLC17A9,ANKRD33B,,,,
NR1D2,CHPF,GRB10,,,,
SGK1,SAPCD2,DENND3,,,,
PHEX,TUBG1,PSTPIP1,,,,
EIF4A2,IGFBP5,ITGAM,,,,
RAD51AP1,KIAA0101,RASAL3,,,,
MID1IP1,ALOX5AP,MAP3K3,,,,
LAMP3,KIF27,VCL,,,,
NAMPT,LAT2,SUCNR1,,,,
KCNN4,TBRG4,RHOBTB3,,,,
HIST1H1C,RNF10,BTD,,,,
SUSD3,RUSC1,CISH,,,,
KDM7A,HDC,CDC42SE1,,,,
OVCH1,AP2B1,FLVCR1,,,,
TNFRSF10C,CDT1,TTC9,,,,
PLEKHO1,GALE,SH3KBP1,,,,
HDC,RRAD,TMEM156,,,,
TPX2,PDIA4,ARAP3,,,,
RNF149,CREB3L4,GATA2,,,,
STAB1,SALL2,ACOT11,,,,
PRDM1,CYP17A1,RSPH3,,,,
ALDH3A1,EIF4EBP1,MCTP2,,,,
SFTPA2,SLC25A6,TP53INP1,,,,
RGL1,DNAJC12,P2RY2,,,,
CAMK1D,C2CD4A,ZBTB18,,,,
LGALS2,LOXL3,ACKR2,,,,
OLFM2,HJURP,ADGRG3,,,,
CST6,CKAP2,CKAP4,,,,
EMB,SCGN,STX3,,,,
RRM1,LDLRAD4,CCNG2,,,,
P2RY8,MTHFD2,FRAT2,,,,
SLC11A1,SLC9A5,TLCD2,,,,
TSPAN18,TMBIM1,GPR183,,,,
WSB2,CDH26,ITFG3,,,,
ARID3A,KIF20A,GAA,,,,
ARL4C,CTSO,PPP1R16B,,,,
ADAM19,STON1,FOXN2,,,,
FAM188B,WSB2,GBP2,,,,
ANKRD33B,PER2,FAM43A,,,,
GAL3ST4,CCNB2,MYO7B,,,,
SLC46A3,EFHD2,FRAT1,,,,
CD93,BTC,RBM38,,,,
PRR5L,AMY2B,BRI3BP,,,,
C1orf186,DUSP2,NBEAL2,,,,
MS4A3,MPDU1,ASB13,,,,
PDE4DIP,SPN,PSTPIP2,,,,
RD3,NCAPH,CLEC4G,,,,
GABARAPL1,FANCC,PKIB,,,,
SAV1,CCT5,ATP10A,,,,
CHKA,TPM4,IKZF2,,,,
DDHD1,PMP22,CDA,,,,
SHMT2,CCNB1,AMIGO2,,,,
ANXA6,BCAS1,TES,,,,
NTNG2,EPM2AIP1,GLCCI1,,,,
CCND2,OSBPL6,IL18R1,,,,
CTNS,PRR15L,EHD1,,,,
EPB41,PNPLA6,RAMP1,,,,
TESPA1,NPAS2,TTC22,,,,
CD300LB,SF3A2,RAB27A,,,,
SGOL1,LPAR6,FRMD4A,,,,
NRBP2,KCNK6,ARHGAP9,,,,
KIF21B,SKA3,TGIF1,,,,
NUP62,NPAS3,BLM,,,,
TAGAP,FGF17,ZNF507,,,,
CXCR4,TPO,AMICA1,,,,
OXR1,DLEU1,FAM102A,,,,
EMP1,GNB1,C14orf37,,,,
FAXDC2,CFL1,MSI2,,,,
ITM2C,RETN,PXN,,,,
LGMN,MYEF2,OAS2,,,,
UCK2,FRMD3,CD226,,,,
IQSEC1,DBNL,BPI,,,,
LILRA4,DLL1,MYCT1,,,,
OLIG2,NUF2,STK38L,,,,
ST6GALNAC3,PHF1,PDE7A,,,,
ORC1,C1orf168,F5,,,,
FMNL2,VSTM1,IGF1R,,,,
C9orf117,ACOT7,ETV5,,,,
ST8SIA4,TEAD4,SIAH2,,,,
ZFAND5,SLFN11,RAP1GAP2,,,,
ZWINT,S100A16,OSBPL8,,,,
BLM,ATP13A2,SLC11A1,,,,
GARS,REEP4,SPATA9,,,,
NEK6,L3MBTL4,CERS4,,,,
FBLN7,AMOT,DENND5A,,,,
MITF,COX8C,HBEGF,,,,
SCD,CHDH,ITM2A,,,,
GBP3,SURF4,STK26,,,,
RAB37,DIAPH1,ANTXR2,,,,
ZNF467,ABCA13,PRKCB,,,,
MAP3K3,VCP,P2RY8,,,,
IL21R,CGREF1,CCL22,,,,
RMI2,GARS,RALGAPA2,,,,
LGALS12,METTL7A,HRASLS5,,,,
CENPM,RAD51AP1,EFR3B,,,,
IDO1,VWA1,RBMS2,,,,
CARHSP1,RNF157,ATP6V0A2,,,,
HM13,SLC52A2,SEMA4D,,,,
ALDH3A2,AVPR2,ATP8B4,,,,
SCGB3A1,HK1,NTRK3,,,,
CA11,TMEM200B,SLC19A3,,,,
ARHGAP4,SLC31A1,THBD,,,,
SEMA4A,LIMK1,CDK6,,,,
STX12,CLPB,ZNRF1,,,,
CSF1,LAG3,CMTM8,,,,
CRTAP,IRX5,MXD1,,,,
ARNTL,SH3KBP1,SRPK1,,,,
FBF1,DCAF12,SFXN1,,,,
SPARC,C1orf50,WEE1,,,,
DIXDC1,NAGA,RCSD1,,,,
F5,DET1,TCF4,,,,
NRM,ZNF181,ABCG1,,,,
AMPD3,LPCAT2,CHST13,,,,
FAM43A,CFAP47,TANC2,,,,
CXCR1,PPP1CA,CCDC24,,,,
FAM63A,MYADM,SESN2,,,,
CDK1,PKP3,ADGRG6,,,,
FRAT2,NAT10,PRR5L,,,,
HS3ST2,BTK,FLVCR2,,,,
PANX2,KIF1A,SUSD1,,,,
ASGR2,EDEM1,GBP4,,,,
IL17RB,CXCL1,KDM4B,,,,
PDIA6,TREML2,HIF1A,,,,
RGL3,CEP68,FAM159A,,,,
SPNS2,LDHA,S100Z,,,,
SULT1B1,ALPL,PEX19,,,,
CCNE2,TSGA10,NLRC5,,,,
LINGO3,VTI1B,LCP2,,,,
MBOAT2,CDK1,IDUA,,,,
TXK,GDF9,PLCB2,,,,
PLD2,NUFIP1,MGAM,,,,
TNFRSF8,MCM3,SLAMF6,,,,
MEF2C,B4GALT2,BIRC3,,,,
LRMP,POU2AF1,CYP4F3,,,,
C16orf74,FAM83D,NDRG2,,,,
SMIM14,RCC1,RUNX3,,,,
DAPK2,WDR1,MBOAT2,,,,
CA4,GART,IKZF1,,,,
SNRNP25,YIF1B,HRH4,,,,
SPP1,CYB561D2,APOL1,,,,
ELF3,RBM11,ANKRD55,,,,
AFF2,LPL,GSDMB,,,,
EFHC1,TIMP3,MS4A2,,,,
PKMYT1,MYDGF,SHC4,,,,
MCM10,GPR183,GRINA,,,,
SLC43A3,PFKL,ADAMTSL4,,,,
PECAM1,CD1B,C1orf186,,,,
SLC25A37,RACGAP1,CPA3,,,,
IFITM1,CDC20B,C19orf38,,,,
HYOU1,AQP7,GPR34,,,,
TOX2,KIFC1,COL9A3,,,,
TUBG2,ZNF44,GPR35,,,,
MKI67,SIPA1,INPP5A,,,,
AP1B1,MESP1,ZNRF3,,,,
LRG1,ATPAF2,ARHGEF6,,,,
RAB3IL1,COL12A1,TRIM14,,,,
IRS2,POLDIP2,PANX2,,,,
AKAP5,NUDT22,ETS1,,,,
LAMP5,ARHGEF10L,STAC3,,,,
MPZL2,RORC,GFRA2,,,,
CENPA,COMTD1,PPARG,,,,
TRPM6,GRP,COL4A1,,,,
OXER1,FAM111B,ACPP,,,,
GPR35,CPNE8,S1PR1,,,,
NKD1,CYP24A1,LHPP,,,,
TMEM67,RSPH3,CCDC186,,,,
AURKB,ARHGAP1,FBXL13,,,,
MANF,SLC38A5,OAS3,,,,
TRAF3IP3,SSR2,TLE4,,,,
GNG7,PIK3CG,CDC42BPB,,,,
P2RX7,MOB3B,FANCF,,,,
TCL1A,SMARCD2,CELF2,,,,
ANKH,KIR3DL2,SULF2,,,,
ITGAM,KRT6A,MAX,,,,
ZNF469,ACKR3,NOV,,,,
FMO4,SPRR1B,SGK1,,,,
MS4A7,NAV1,CDC42SE2,,,,
FZD2,LPIN1,IKZF4,,,,
KIF2C,CPAMD8,CLEC10A,,,,
ECHDC1,ERRFI1,SCRN1,,,,
LY86,GRXCR2,F13A1,,,,
TBC1D1,KIF11,STAG3L5P-PVRIG2P-PILRB,,,,
HIST1H1D,KIAA0100,WIPF1,,,,
RHOBTB3,FAM83C,SETBP1,,,,
HAMP,BACE2,DUSP8,,,,
GRASP,NETO2,PGM1,,,,
MSRB3,PLK3,MREG,,,,
C20orf194,EPPIN,PLEKHA4,,,,
OTUD1,ZBBX,ARHGEF10L,,,,
GMPPB,SLC7A1,RAB40C,,,,
SKA3,TSTA3,HERC5,,,,
SVIP,AP2M1,MAP4,,,,
GAPT,ZC3H13,KRT79,,,,
FOXO3,ID1,UACA,,,,
CPED1,MOK,BASP1,,,,
RNF144A,DNAH10,CCL26,,,,
GALM,IDH2,CYTIP,,,,
ALDH1A1,KCNK3,HELB,,,,
SNCA,HK2,SEMA3B,,,,
STARD3,TUBB6,ST6GAL1,,,,
BRI3BP,NIN,ACKR3,,,,
ALDH2,C14orf37,MKL1,,,,
POU2F2,RNASEH2A,ENPP2,,,,
KIF22,INTU,OBFC1,,,,
WSB1,GALK1,IL16,,,,
NUP210,IRX3,ABCA6,,,,
C19orf35,HNRNPAB,CACNG6,,,,
RDH10,STIP1,PDK1,,,,
TRHDE,CAPZB,ZDHHC18,,,,
PKN2,ZNF189,SPARC,,,,
CDC45,TSPO,ARHGAP24,,,,
TREML2,MMS22L,BHLHE41,,,,
NEIL3,PWWP2B,NKIRAS1,,,,
CCDC181,SPPL3,TACC1,,,,
IL1R1,ZNF567,NDUFAF6,,,,
SLCO4C1,SEC24D,RGL1,,,,
TMEM214,SYNRG,NCK2,,,,
SLC1A4,HTR4,AMPD3,,,,
CBX6,ECT2,AKNA,,,,
TGIF1,RMI2,APOL6,,,,
ERICH1,SDF2L1,OLR1,,,,
PER2,MCU,TPCN1,,,,
SLC18A2,CWF19L2,LIMS1,,,,
CDKN3,AMMECR1,MFSD6L,,,,
ZNF365,ELOVL1,DUSP10,,,,
RUNX3,TCN1,KIAA1462,,,,
LAMB1,NCLN,SGPP2,,,,
GGA2,SELL,SLC31A2,,,,
FAM129B,CPNE7,AP5B1,,,,
PPP1R18,ADA,HIST1H1C,,,,
NDRG2,GPC5,SEMA4A,,,,
HIP1,RELL1,SLC39A8,,,,
KHDRBS3,ORC1,CTNS,,,,
ARMCX3,TIAM1,ELOVL5,,,,
ADTRP,DOK1,NUAK2,,,,
NUF2,PER3,TCF7,,,,
DNAAF1,PNP,RUNX2,,,,
NUSAP1,CENPW,NINJ1,,,,
EPHB1,NEK6,PRAM1,,,,
KIAA0101,SPAG5,MED14,,,,
F13A1,REST,DECR2,,,,
SGMS1,MYH9,BACE1,,,,
C11orf16,ZNF654,GAS2,,,,
MAD2L1,PGAM1,SMAGP,,,,
MLF1,TRAF7,PPP1R14A,,,,
RSPH3,THSD7A,CACNG8,,,,
S1PR4,TMC6,LRP1,,,,
LBH,AQP10,ERN1,,,,
PIK3CD,MTHFD1L,BEGAIN,,,,
CENPO,DDIT4,MINK1,,,,
SPECC1,RBM14,CNN2,,,,
ANO5,LRP3,NT5DC2,,,,
SLITRK4,FAM64A,MRC2,,,,
SFTPD,SLC16A1,SSBP2,,,,
RNASE2,PIK3IP1,ECE1,,,,
CLCN4,C16orf46,IFIT3,,,,
GSTA1,ASAP1,CXCL3,,,,
CSF2RB,CENPC,MS4A14,,,,
HELLS,PARM1,C11orf21,,,,
RPH3A,JMJD1C,PPM1N,,,,
CHAF1A,WHSC1L1,CDKN2D,,,,
APBB3,PTPN6,SEPT1,,,,
FAM102A,ATP6V1E1,SIGLEC1,,,,
UBE2T,PXDN,LSAMP,,,,
DBR1,ERICH3,AGPAT9,,,,
HRH4,CORO1A,SERPING1,,,,
HOMER3,NLRC4,CHD7,,,,
PTGER2,C9orf117,MARCH8,,,,
FOXP3,ESYT3,PTGS1,,,,
NRARP,INHBA,SPATA13,,,,
SRRT,CSF2RB,AGRN,,,,
ZBTB25,CRY2,ANKRD44,,,,
RIMS3,RAD51,UNC5B,,,,
PADI2,WBP1L,CA4,,,,
HSPA5,COX7A1,PLD2,,,,
PHF19,DUSP15,CHD3,,,,
PSIP1,SERPINA11,LTB,,,,
HNRNPAB,CHST9,CXCL16,,,,
ARL4A,UPK1B,IGFBP6,,,,
AMIGO2,KIAA1324,ALOX5,,,,
SMPD3,TACC3,PRDM5,,,,
KLK11,ARMC7,SUMF2,,,,
RGS14,HBEGF,COL23A1,,,,
ACAP1,TEF,CD84,,,,
BIRC5,C1orf21,MS4A3,,,,
SAT1,SGOL1,VSIG4,,,,
CASS4,SERPINB4,ZNF143,,,,
HS3ST3B1,RBM4B,TNFRSF12A,,,,
TNIP1,CHPF2,SEPT4,,,,
PRKX,ANGPT1,ARL4A,,,,
FAM101A,SERPINB2,CBFA2T3,,,,
CDCA3,DNAH7,SRPK2,,,,
SHD,SLC25A36,TNFAIP2,,,,
RUFY4,IL17RB,PDZD8,,,,
TRIM22,SLC39A7,OSBPL1A,,,,
CDC20,NUCB1,STK4,,,,
CCM2,ATOH8,VENTX,,,,
HS3ST1,RAB39A,PEX5,,,,
DDX39A,TPM3,HMHA1,,,,
DDX5,KDELR1,OCRL,,,,
PKIB,LST1,CCL13,,,,
FAM124B,ZC3H6,GPR27,,,,
CCDC88A,BRINP1,EXTL2,,,,
ECHDC2,GPHA2,ZNF652,,,,
DGKD,NEB,ADAM22,,,,
IL7R,NDC80,PBLD,,,,
CERK,MUM1L1,LYL1,,,,
AOC3,PBRM1,CTDSP1,,,,
TNFRSF10B,TTYH3,INHBA,,,,
CCL13,FBP1,SLCO2B1,,,,
CATIP,SYNE1,MYH3,,,,
BARD1,PBX1,LILRA5,,,,
CASP1,PVRL2,STAT5B,,,,
LYPLAL1,RDH16,SOCS2,,,,
PHOSPHO1,BMP6,KCNA3,,,,
AFMID,ASF1A,HCAR2,,,,
SYNE1,BNIP3,GAS6,,,,
RASAL3,MLKL,ITGA6,,,,
DGKA,PDGFC,HRH2,,,,
BRCA1,CDH24,TMEM74B,,,,
CD46,ZNF219,ARID3A,,,,
NCLN,RAD51B,FAM124B,,,,
FRMD4B,YKT6,SPATS2L,,,,
LFNG,SGCB,PIK3R1,,,,
CD7,FERMT2,TRIB1,,,,
NRGN,LMO4,CEP85L,,,,
PPP1R3B,FBXW10,GALNT10,,,,
SLC47A1,CDC37,RAB33A,,,,
CC2D2A,LYPLA2,SLC40A1,,,,
RBM38,AEBP2,FCGR3A,,,,
FLT3,PKIG,ZMYND15,,,,
WFIKKN2,GRAMD2,PCSK9,,,,
POLA2,ARID4B,FKBP9,,,,
ZMAT1,AGPS,FAHD2A,,,,
ICAM3,CTSC,HLA-DOA,,,,
S100B,MGAT1,GPR174,,,,
SH3BP4,NCSTN,GPRIN3,,,,
TCF7L2,CCDC84,MED13L,,,,
KDM4B,HPCAL1,CERK,,,,
NEIL1,COPG1,ZNF469,,,,
MYO6,NUCKS1,ABHD5,,,,
PIP5K1B,HMGB3,DDO,,,,
GDPD5,ATP6V1C2,SPTBN1,,,,
SPIN4,KIF4A,FNBP1L,,,,
HMHA1,LRRC37B,SLC9A3R1,,,,
SHROOM3,FRA10AC1,ANKRD13A,,,,
CD83,ARID4A,EPB41,,,,
ITGA9,MVP,CAMSAP3,,,,
SFXN1,CAMKK2,RHOH,,,,
PDIA4,KLHDC8A,INPP5D,,,,
FOXRED2,KPNA2,RHOBTB2,,,,
SLCO4A1,SIGLEC8,ITGAL,,,,
STX3,ZC3H4,HIBADH,,,,
FAM159A,PRSS33,HDC,,,,
C2,NPHP3,TAGAP,,,,
DENND5A,MTF1,GPR132,,,,
GINS4,LRRC8A,ARHGEF5,,,,
SPRY2,RANBP9,CYB5R4,,,,
LETMD1,PAQR4,PHEX,,,,
CCL26,CCDC173,JCHAIN,,,,
NPEPL1,NIT2,IL9R,,,,
ZNRF1,LASP1,EGR3,,,,
HSD11B1,EYA1,GAS2L1,,,,
ST6GAL1,HYDIN,CCL17,,,,
P2RY6,RASSF2,THEMIS2,,,,
TRPC6,ZNF184,COA1,,,,
MGAM,RMDN2,CLEC4C,,,,
ATP2B1,ANKRD7,BNC2,,,,
BCL11A,CYBB,SCD,,,,
SRPK2,CCDC30,TRAF3IP2,,,,
ABTB1,DNAJC9,TOP1MT,,,,
TMEM56,ATF1,LONRF3,,,,
ASAH1,DUSP6,SLC2A1,,,,
ZNRF3,AP2S1,YBX3,,,,
ADGRD1,SPEF2,PDE1B,,,,
PPARG,UTP20,PPP1R18,,,,
CCR5,GIMAP5,PHF20L1,,,,
RAI1,HMOX2,GEMIN8,,,,
CES3,CTDNEP1,NUDT9,,,,
SCGB1A1,CFAP70,DNAJC5B,,,,
CCDC64,INSM1,BTNL8,,,,
P2RY14,FAXDC2,BMPR1B,,,,
MAX,SHC4,PARM1,,,,
